,step,train_error,validation_error
456,22800,0.0,0.125
457,22850,0.0,0.1171875
458,22900,0.0,0.125
459,22950,0.0,0.1015625
460,23000,0.0078125,0.0859375
461,23050,0.0,0.1171875
462,23100,0.015625,0.1484375
463,23150,0.0078125,0.09375
464,23200,0.0,0.109375
465,23250,0.0,0.109375
466,23300,0.0,0.1484375
467,23350,0.0078125,0.140625
468,23400,0.0,0.171875
469,23450,0.0,0.0859375
470,23500,0.0,0.09375
471,23550,0.0,0.09375
472,23600,0.0,0.109375
473,23650,0.0,0.0859375
474,23700,0.015625,0.1015625
475,23750,0.0,0.125
476,23800,0.0,0.125
477,23850,0.0,0.1015625
478,23900,0.0,0.109375
479,23950,0.0,0.09375
480,24000,0.0078125,0.109375
481,24050,0.015625,0.09375
482,24100,0.0,0.0546875
483,24150,0.0078125,0.09375
484,24200,0.0,0.109375
485,24250,0.0,0.1328125
486,24300,0.0078125,0.09375
487,24350,0.0078125,0.0703125
488,24400,0.0,0.109375
489,24450,0.0078125,0.109375
490,24500,0.0,0.0859375
491,24550,0.0,0.09375
492,24600,0.0078125,0.09375
493,24650,0.015625,0.1171875
494,24700,0.0,0.09375
495,24750,0.0,0.1171875
496,24800,0.0078125,0.1640625
497,24850,0.0,0.078125
498,24900,0.0078125,0.1015625
499,24950,0.015625,0.140625
500,25000,0.0,0.109375
501,25050,0.0,0.109375
502,25100,0.0,0.1171875
503,25150,0.0078125,0.0859375
504,25200,0.0,0.1328125
505,25250,0.0,0.109375
506,25300,0.0078125,0.109375
507,25350,0.0,0.078125
508,25400,0.0,0.078125
509,25450,0.0,0.0703125
510,25500,0.015625,0.1015625
511,25550,0.0,0.140625
512,25600,0.0,0.1015625
513,25650,0.0078125,0.1328125
514,25700,0.0078125,0.1015625
515,25750,0.0,0.125
516,25800,0.015625,0.1640625
517,25850,0.0,0.0859375
518,25900,0.0,0.109375
519,25950,0.0,0.078125
520,26000,0.015625,0.0859375
521,26050,0.0078125,0.171875
522,26100,0.0078125,0.078125
523,26150,0.0,0.078125
524,26200,0.0078125,0.125
525,26250,0.0,0.125
526,26300,0.0078125,0.140625
527,26350,0.0,0.1328125
528,26400,0.0,0.1015625
529,26450,0.0,0.1328125
530,26500,0.0078125,0.078125
531,26550,0.0078125,0.1015625
532,26600,0.0,0.1015625
533,26650,0.0078125,0.0703125
534,26700,0.0,0.1015625
535,26750,0.015625,0.1171875
536,26800,0.0,0.1328125
537,26850,0.0,0.1484375
538,26900,0.0,0.1328125
539,26950,0.0,0.109375
540,27000,0.0078125,0.1015625
541,27050,0.0078125,0.125
542,27100,0.0078125,0.09375
543,27150,0.0,0.1171875
544,27200,0.0078125,0.0859375
545,27250,0.015625,0.125
